trend_days,final_equity,total_sell_count,take_profit_sell_count,stop_loss_sell_count,num_profitable_years,num_loss_years,return_2013_pct,return_2014_pct,return_2015_pct,return_2016_pct,return_2017_pct,return_2018_pct,return_2019_pct,return_2020_pct,return_2021_pct,return_2022_pct,return_2023_pct,return_2024_pct,return_2025_pct
0,1541089534.22,64,30,34,9,3,0.0000,-13.3559,36.4243,119.0630,969.7708,-34.2746,125.9976,351.8251,210.8069,-25.8951,34.3652,151.8071,6.3745
1,89776621.38,33,17,16,8,4,0.0000,-16.0287,19.9178,134.7762,421.8168,-4.7690,-18.7290,10.9969,150.0450,-7.9027,40.0564,155.3840,2.8465
2,61859433.26,29,17,12,8,4,0.0000,-15.1563,19.9178,73.6688,421.8168,-1.3982,-17.0355,10.0852,147.2711,-10.7460,28.5205,155.3840,2.8465
3,25001350.64,23,13,10,8,3,0.0000,-15.1563,19.9178,73.6688,411.6709,3.3525,-17.0355,0.0000,107.2504,-10.7460,5.1418,61.0430,2.9659
4,15758034.10,23,12,11,8,4,0.0000,-21.8545,19.9178,73.6688,252.7827,3.3525,-17.0355,-3.5741,107.2504,-10.6543,4.3952,60.4815,7.0048
5,17448178.05,23,12,11,8,4,0.0000,-21.8545,19.9178,73.6688,252.7827,3.3525,-6.8196,-3.5741,108.5562,-10.6543,6.6620,60.4815,2.6035
6,15102755.74,23,12,11,8,4,0.0000,-21.8545,19.9178,73.6688,240.9767,3.3525,-6.8196,-3.5741,99.3435,-15.1007,4.0220,59.4269,4.4215
7,13162366.52,22,11,11,8,4,0.0000,-21.8545,19.9178,73.6688,252.0615,3.3525,-6.8196,-3.5741,68.2620,-15.1007,4.0220,59.4269,4.4215
8,14205849.04,19,10,9,7,5,0.0000,-13.6579,19.9178,73.6688,254.1614,3.3525,-6.8196,-3.5741,68.2620,-13.1637,10.5767,59.9213,-7.0304
9,3538012.99,18,9,9,5,6,0.0000,-13.6579,19.9178,73.6688,-6.8584,0.0000,-6.8196,-3.5741,68.2620,-13.1637,8.2267,59.9213,-7.0304
10,3538012.99,18,9,9,5,6,0.0000,-13.6579,19.9178,73.6688,-6.8584,0.0000,-6.8196,-3.5741,68.2620,-13.1637,8.2267,59.9213,-7.0304
11,2527250.74,17,8,9,4,6,0.0000,-13.6579,19.9178,73.6688,-6.8584,0.0000,-6.8196,-3.5741,68.2620,-8.9739,17.9411,0.0000,-7.0304
12,2430121.65,18,8,10,4,6,0.0000,-13.6579,19.9178,73.6688,-6.8584,0.0000,-6.8196,-3.5741,68.2620,-8.9739,17.9411,0.0000,-10.6035
13,2971010.28,16,8,8,4,5,0.0000,0.0000,19.9178,73.6688,-6.8584,0.0000,-7.7575,-3.5741,68.2620,-2.9359,17.9411,0.0000,-10.6035
14,3064019.62,15,8,7,5,4,0.0000,0.0000,19.9178,73.6688,-6.8584,0.0000,-7.7575,-3.5741,68.2620,0.1028,17.9411,0.0000,-10.6035
15,3064019.62,15,8,7,5,4,0.0000,0.0000,19.9178,73.6688,-6.8584,0.0000,-7.7575,-3.5741,68.2620,0.1028,17.9411,0.0000,-10.6035
16,3064019.62,15,8,7,5,4,0.0000,0.0000,19.9178,73.6688,-6.8584,0.0000,-7.7575,-3.5741,68.2620,0.1028,17.9411,0.0000,-10.6035
17,2640976.39,17,8,9,5,4,0.0000,0.0000,19.9178,73.6688,-6.8584,0.0000,-17.2625,-3.5741,68.2620,0.1028,13.3356,0.0000,-10.6035
18,4430689.19,19,10,9,5,4,0.0000,0.0000,60.3661,73.6688,-6.8584,0.0000,-17.2625,-3.5741,111.0883,0.1028,13.3356,0.0000,-10.6035
19,18127922.41,20,11,9,7,3,0.0000,0.0000,60.3661,73.6688,268.7222,3.3525,-17.2625,-3.5741,111.0883,0.1028,13.3356,0.0000,-10.6035
20,39908478.30,20,12,8,7,3,0.0000,0.0000,60.3661,73.6688,648.7681,3.3525,-10.3043,-3.5741,111.0883,0.1028,13.3356,0.0000,-10.6035
21,42652504.23,21,13,8,7,3,0.0000,0.0000,60.3661,73.6688,648.7681,3.3525,-10.3043,-3.5741,111.0883,0.1028,13.3356,0.0000,-4.4568
22,67877994.50,22,14,8,8,3,0.0000,0.0000,60.3661,73.6688,648.7681,3.3525,-10.3043,-3.5741,111.0883,0.1028,13.3356,59.1419,-4.4568
23,67877994.50,22,14,8,8,3,0.0000,0.0000,60.3661,73.6688,648.7681,3.3525,-10.3043,-3.5741,111.0883,0.1028,13.3356,59.1419,-4.4568
24,67877994.50,22,14,8,8,3,0.0000,0.0000,60.3661,73.6688,648.7681,3.3525,-10.3043,-3.5741,111.0883,0.1028,13.3356,59.1419,-4.4568
25,67877994.50,22,14,8,8,3,0.0000,0.0000,60.3661,73.6688,648.7681,3.3525,-10.3043,-3.5741,111.0883,0.1028,13.3356,59.1419,-4.4568
26,67877994.50,22,14,8,8,3,0.0000,0.0000,60.3661,73.6688,648.7681,3.3525,-10.3043,-3.5741,111.0883,0.1028,13.3356,59.1419,-4.4568
27,67877994.50,22,14,8,8,3,0.0000,0.0000,60.3661,73.6688,648.7681,3.3525,-10.3043,-3.5741,111.0883,0.1028,13.3356,59.1419,-4.4568
28,67877994.50,22,14,8,8,3,0.0000,0.0000,60.3661,73.6688,648.7681,3.3525,-10.3043,-3.5741,111.0883,0.1028,13.3356,59.1419,-4.4568
29,67877994.50,22,14,8,8,3,0.0000,0.0000,60.3661,73.6688,648.7681,3.3525,-10.3043,-3.5741,111.0883,0.1028,13.3356,59.1419,-4.4568
30,62374514.33,23,14,9,7,4,0.0000,0.0000,60.3661,73.6688,648.7681,-5.0272,-10.3043,-3.5741,111.0883,0.1028,13.3356,59.1419,-4.4568
